,Row,Col,Sym,Diag
63,"(0.3990685544302307, 0.39682685552032215)","(0.3283401608501776, 0.32816561182975523)","(0.3965660984980762, 0.3944618581261735)","(0.4052569623498262, 0.40466990159484817)"
64,"(0.3676629867015905, 0.364880699178771)","(0.318247315671513, 0.31655471791916334)","(0.3506607454304189, 0.34962705576313746)","(0.3640958892820281, 0.36151560887184675)"
65,"(0.4299429703992256, 0.4285574348413399)","(0.29070925237073153, 0.2902028280440524)","(0.42436411842150634, 0.42161637816420905)","(0.42999956414840435, 0.42867454544997563)"
66,"(0.4603019453278858, 0.4559214871274039)","(0.4242953770200766, 0.42013384751504734)","(0.4393403760570749, 0.43467317491461566)","(0.311036388928155, 0.30976302825550556)"
67,"(0.35291552692759376, 0.35132137082097814)","(0.32399351440900925, 0.3226957648207571)","(0.3421695691169562, 0.3400099402870347)","(0.3454636866364872, 0.3356678987498253)"
68,"(0.3384343509640436, 0.3322288062423445)","(0.3292998307751417, 0.3288728428723371)","(0.3338427529299268, 0.32889891172897046)","(0.33107257475978813, 0.3300621971955298)"
69,"(0.35952138253472776, 0.3582129990661078)","(0.3487934971603872, 0.347660271619881)","(0.3554213200625592, 0.35457703272389984)","(0.3564194142240291, 0.3559793827617353)"
70,"(0.40939543335386674, 0.4049823899441072)","(0.3393425468117657, 0.33833649879114447)","(0.38989393653499116, 0.3830598989990581)","(0.3670381904389508, 0.36649308179112455)"
71,"(0.3619105637125857, 0.3555135474950084)","(0.36856285830389635, 0.3679469926807861)","(0.35766206563119174, 0.3523949168222149)","(0.31489677663747473, 0.3132717456333115)"
72,"(0.43718155483620547, 0.43006389476336937)","(0.37374101945727856, 0.37305718638791074)","(0.4269443706577235, 0.41904556365768664)","(0.3404532859301648, 0.3397874243892808)"
73,"(0.3598987109459132, 0.35846337884366597)","(0.33149668425246204, 0.3300489824305878)","(0.3528276478392308, 0.35200141214369585)","(0.35404500796921057, 0.3471751453207918)"
74,"(0.4222991707921582, 0.41912303683163876)","(0.28358252855319255, 0.282618597525944)","(0.41662656698923206, 0.4144654547636011)","(0.3020728577497799, 0.2863027754678069)"
75,"(0.3504703270959917, 0.315055335293177)","(0.3627023623061656, 0.36073905074287826)","(0.3504703270959917, 0.31077589007764395)","(0.31664828764154307, 0.31605953574468154)"
76,"(0.35856408487060376, 0.3569303449876884)","(0.35256343763632814, 0.35151774624947885)","(0.355599266156272, 0.35259062203372604)","(0.3572550834741052, 0.35638421144339066)"
77,"(0.49190228756979193, 0.48853365268066273)","(0.3194778663520863, 0.31385493104708917)","(0.47486009886011005, 0.469798840964853)","(0.4788855841399219, 0.47683596613247725)"
78,"(0.30508295749962466, 0.293681140234746)","(0.3149873365416579, 0.3132932083009633)","(0.3009582137737217, 0.28972750598424746)","(0.30612642564433523, 0.29650703805851286)"
