,Row,Col,Sym,Diag
79,"(0.4206924984398105, 0.4123509018548872)","(0.43002422898851056, 0.42791892670752085)","(0.41366463154883903, 0.40616981808068475)","(0.3966330778344308, 0.3954961934799063)"
80,"(0.4967216837151692, 0.48833354250203165)","(0.43242439921427944, 0.43029428286207394)","(0.4831295602720044, 0.4735282656994093)","(0.3377433898688357, 0.3347752363030869)"
81,"(0.397207136371752, 0.38542240736885436)","(0.29732771942835456, 0.2926500123483694)","(0.36758254434890114, 0.3583796459355958)","(0.3912620716685521, 0.3874187483232465)"
82,"(0.35172449775088743, 0.3487803356637602)","(0.33084249954523404, 0.32783769136421215)","(0.34003700307052875, 0.33582628437010364)","(0.33505174940804294, 0.33442179354940693)"
83,"(0.46790636501659555, 0.46595506411580745)","(0.4007025653610252, 0.39910593195702204)","(0.46071959598342394, 0.45487423004797123)","(0.33345116041836276, 0.33172759142877445)"
84,"(0.4045168128926643, 0.40226029487419057)","(0.33556423072447306, 0.33388759103192656)","(0.4013946500629636, 0.39816706971062665)","(0.3813456631638359, 0.38058409530958365)"
85,"(0.38124147336138414, 0.37927613305642727)","(0.3460061619057926, 0.3449389888002309)","(0.37495437766524775, 0.37241538149822295)","(0.3728629957250147, 0.36940246003715127)"
86,"(0.48791311817049976, 0.48054199164037303)","(0.4389000218940493, 0.43748310010593006)","(0.4808561308825531, 0.4742766489485002)","(0.3594675050056183, 0.3575528935357641)"
87,"(0.3644815744213097, 0.36067817244236555)","(0.3027147673498197, 0.30214116628768595)","(0.3587067049207451, 0.35523430989711136)","(0.34061553958035773, 0.3312178425837124)"
88,"(0.3607935776154373, 0.3568625662076941)","(0.3156490648944026, 0.31419645970946375)","(0.35551254002738053, 0.3525406497807161)","(0.37140579357573344, 0.3711855325968547)"
89,"(0.3600994032395397, 0.3573583811953682)","(0.3852567376297463, 0.3824560948744463)","(0.35469998868438246, 0.34362798423534036)","(0.3149910381654373, 0.31393255336732895)"
90,"(0.3963379165350861, 0.3812696990201101)","(0.3832651045473917, 0.3824407978755259)","(0.3922436023928145, 0.37764073220131633)","(0.394626589870702, 0.38317133759487626)"
91,"(0.39879864059016745, 0.3899616467765381)","(0.2596543314663874, 0.25859571792102964)","(0.3890624689583553, 0.3808607452592099)","(0.3983312112523407, 0.3871892755443504)"
92,"(0.3587227928214336, 0.3575565447595439)","(0.28371372279493545, 0.2830624568824227)","(0.35297998493798344, 0.35232060704065593)","(0.36801875721516497, 0.36675261088958816)"
93,"(0.38636923481213614, 0.3809008925799653)","(0.2933233376584904, 0.29148602706602134)","(0.37602835859668593, 0.37136074250170625)","(0.3859238396034036, 0.38433382001888156)"
94,"(0.4353131690649652, 0.42687289831955355)","(0.3061945502005968, 0.30343443666807024)","(0.4252719035839648, 0.4170210468859945)","(0.33727604700357117, 0.33601091200038563)"
95,"(0.3933746446665797, 0.39009202686599354)","(0.28311445483154507, 0.2822621336271648)","(0.38671277120049996, 0.3832858461578169)","(0.38975471494728486, 0.38786111086629926)"
96,"(0.4493831491590716, 0.4444765970424308)","(0.3977466306771287, 0.3971072185898862)","(0.43362762651015685, 0.42707897809030815)","(0.4441752381022518, 0.442724745454904)"
97,"(0.39840411504471196, 0.39775973476707605)","(0.3530082825366798, 0.3522837252447253)","(0.3931526381641578, 0.39160334566508237)","(0.3979760810101405, 0.39740732086384645)"
98,"(0.39783661790139124, 0.3946753226614733)","(0.4247399399900935, 0.4235008758705159)","(0.39783661790139124, 0.3867228700590112)","(0.3011460590893089, 0.2956822381881089)"
99,"(0.38709087573527934, 0.38624896709599665)","(0.34231187409734853, 0.34199218820737565)","(0.3830719838955564, 0.38162957841795153)","(0.26390689944936185, 0.2620857369828712)"
100,"(0.35846235106789837, 0.3527078146774787)","(0.32939166274358933, 0.3275300895179346)","(0.3514637098585407, 0.34578210786333696)","(0.3609230881555, 0.35910234963000254)"
101,"(0.4430014964500216, 0.44136630208276684)","(0.282866182013806, 0.2823528146450802)","(0.4330725926082345, 0.42786514641764173)","(0.44207130897024427, 0.43963771445588795)"
102,"(0.35998084835896027, 0.35751992601977256)","(0.3510554568144162, 0.3504881759789371)","(0.34619299153972827, 0.34382052445675815)","(0.3537418898859953, 0.3509483975050568)"
103,"(0.42757644135850625, 0.4243788594249902)","(0.3521204669184984, 0.35099117972116745)","(0.4150089793370577, 0.41355120528298506)","(0.4194758354114799, 0.41859818412180777)"
