,Row,Col,Sym,Diag
87,"(0.4737216780348341, 0.4672490568347849)","(0.3485652707158112, 0.34710931033258385)","(0.4667803402362225, 0.45967852625271977)","(0.3925792546644482, 0.3877483100738549)"
88,"(0.36365539749627507, 0.36147846600746536)","(0.23187874372680295, 0.23164238441381235)","(0.36103348186432005, 0.3579051291620776)","(0.36370898623245307, 0.3628859784143111)"
89,"(0.4313057943376043, 0.41279070850944366)","(0.2538279623693561, 0.25228169917785637)","(0.41848900795516697, 0.397772720216543)","(0.4318135662260265, 0.42225259862943815)"
90,"(0.443646212382274, 0.44017261969293675)","(0.3765435827303819, 0.3747129012517765)","(0.4366041914684746, 0.432539549907605)","(0.4429685886565028, 0.4417976620051629)"
91,"(0.4526431997254118, 0.45063858980504135)","(0.2639080151671398, 0.26268496398773555)","(0.44652808888181506, 0.44539725203133473)","(0.4549811639258453, 0.4532912326423737)"
92,"(0.3681791474749634, 0.3626674481092603)","(0.3264882561543023, 0.32515378287913244)","(0.363027163802506, 0.3579916052588882)","(0.3674109844600836, 0.36208733298704054)"
93,"(0.3913390072237717, 0.3713463824173461)","(0.3987165392915051, 0.3982308769231728)","(0.3913390072237717, 0.3664324641346032)","(0.3499011555328483, 0.3486495769432583)"
94,"(0.33549586705399714, 0.3333641742345349)","(0.31335953780413095, 0.3129459802293417)","(0.33300528941887253, 0.32987653053237553)","(0.3284065325608576, 0.3236021190600909)"
95,"(0.31222026198253006, 0.30780707575323796)","(0.27712254123542124, 0.27660458334054505)","(0.3075374456261466, 0.30444260408744694)","(0.33892742554369815, 0.3212124683538997)"
96,"(0.43466212196919385, 0.42873908461332433)","(0.37580605631993214, 0.36299898416189635)","(0.4292081897815616, 0.4234108650696371)","(0.4340319107572902, 0.4332071711993639)"
97,"(0.42509273854665375, 0.42241697391942423)","(0.2747243009502467, 0.27265799291316495)","(0.41845356039624904, 0.41336396285282173)","(0.4296886285649977, 0.42722864674016375)"
98,"(0.46323644047917456, 0.455207209993434)","(0.3061836709464163, 0.30387577999818804)","(0.45839790077172915, 0.44802004283913077)","(0.46449428956490935, 0.46237454031422387)"
99,"(0.37245309904141044, 0.3631229337940045)","(0.34567731944800306, 0.3444995524401866)","(0.3653501415245599, 0.3564911517626328)","(0.35527503053335097, 0.3531984023650536)"
100,"(0.4290203597523916, 0.42336556391278224)","(0.2982556930678725, 0.2939899218818596)","(0.40829237395590456, 0.404415462515616)","(0.41611865588912256, 0.4149688143213626)"
101,"(0.3700219962403133, 0.36836649550003986)","(0.37862422332878864, 0.37792575170656817)","(0.36834871187350393, 0.3644662599263008)","(0.3559689689906279, 0.35526871496589624)"
102,"(0.4154511595493646, 0.41464846970344915)","(0.3460821915045411, 0.34515915385247153)","(0.40362677868360186, 0.39768489690281905)","(0.41941349492284985, 0.4154834103683015)"
