,Row,Col,Sym,Diag
85,"(0.1311229437840491, 0.12941067017085128)","(0.11012090241822015, 0.1094821448231671)","(0.12443675530170328, 0.122249376086909)","(0.1265292072755434, 0.12567274751330534)"
86,"(0.14821511323976821, 0.14664249719788625)","(0.09593654511794769, 0.09580024117842467)","(0.1447634898785335, 0.14386356332480632)","(0.14592088616384125, 0.14554464625181998)"
87,"(0.1482494131268136, 0.14793315708051136)","(0.0908673266920802, 0.0901468389573038)","(0.1467066805924887, 0.14561938470810043)","(0.1481129460111965, 0.1479852216870697)"
88,"(0.14378962498456627, 0.1425688636159581)","(0.11641729807506795, 0.11606377074053909)","(0.1425875993867235, 0.14120641796122702)","(0.14421139348380219, 0.14372162349134862)"
89,"(0.11412705462688666, 0.11383684544530148)","(0.09139902468193639, 0.09119160095152501)","(0.11182433796273739, 0.11139171768646128)","(0.11369679207575323, 0.11361386562119737)"
90,"(0.13138946901286364, 0.13056694521262124)","(0.11783044854820757, 0.11769777462241193)","(0.12969538777812428, 0.12877912446132989)","(0.12816218909507116, 0.12772954667373343)"
91,"(0.15282827563014556, 0.13766953880930788)","(0.11515913086646701, 0.11474589239111355)","(0.14928282892581568, 0.13380169142993736)","(0.1565064583554472, 0.15088823543202545)"
92,"(0.13439667798054167, 0.13284403501220232)","(0.109920053056759, 0.10968778373990862)","(0.1324101935318459, 0.13131976558599345)","(0.1345849474937848, 0.13426535644951665)"
93,"(0.129964686261542, 0.12891560496945642)","(0.10379492468813356, 0.10349674016507482)","(0.12132003640720124, 0.12009513181753428)","(0.11236042566833793, 0.10959975719738166)"
94,"(0.1365421524756636, 0.13501286651661903)","(0.14130347456700043, 0.1408374828908282)","(0.13569261530012222, 0.13372543641808743)","(0.12951844614729036, 0.12814163249342175)"
95,"(0.15246340334937813, 0.1504512379777223)","(0.12497948152239002, 0.12475013862553175)","(0.14846467484514292, 0.14627896636620086)","(0.15465417906217604, 0.1540299200640598)"
96,"(0.1441321395397669, 0.14182380372951298)","(0.13011169863464422, 0.1297304867614648)","(0.13997958676326927, 0.13819807572624143)","(0.14182380372951298, 0.13921566436950772)"
97,"(0.1530140460535725, 0.14999804035367825)","(0.08911077939277623, 0.0889559422303533)","(0.15183988464336218, 0.1490812266000513)","(0.15267948513363527, 0.1520098374963829)"
98,"(0.10875136217182224, 0.10834084128129562)","(0.09932438761194395, 0.098771849672744)","(0.10507164583944506, 0.10385716434801717)","(0.10618475460689292, 0.0996989191162583)"
99,"(0.10656004971609823, 0.10482144318224729)","(0.09244432373507627, 0.09212618048356236)","(0.10510737210869714, 0.1035757337132861)","(0.09400986559314173, 0.09265300415668117)"
100,"(0.13582464546137318, 0.13423422400054008)","(0.12480243481082731, 0.1242583053389863)","(0.13041554354634532, 0.1296380205533495)","(0.1324390582388365, 0.13212905201523822)"
101,"(0.12201195494940542, 0.1202294874005605)","(0.1274034343310645, 0.1272008960613099)","(0.12158167161791944, 0.11912226678277038)","(0.10954110381559312, 0.10916378144132444)"
102,"(0.11757766380836177, 0.11572928347622025)","(0.11087345383947145, 0.11062656755051059)","(0.11594552307012462, 0.11406746647462906)","(0.104801713842269, 0.10437066453149815)"
103,"(0.13200620506658522, 0.130357280316047)","(0.12104981598601017, 0.12056211627290825)","(0.1286931902579509, 0.12598190592822667)","(0.10608692854233859, 0.10574617890048064)"
104,"(0.13283389906337462, 0.13112074360572912)","(0.10949897164438283, 0.10932742230246417)","(0.12941130636129028, 0.12753004396946288)","(0.13119740363313304, 0.1305087081126266)"
